File,Strategy,lambda,m1,m2,mean_W,ci_low_W,ci_high_W,L_observed,L_theoretical,L_theoretical_low,L_theoretical_high,L_difference,percentage_L_difference,little_verification
Config34,Limited_N,1.0,0.4,0.4,1.4934462496398122,1.4690210755523276,1.5178714237272968,1.8155294629351244,1.4934462496398122,1.4690210755523276,1.5178714237272968,0.3220832132953122,17.74045642721808,False
Config35,Exact_N,1.0,0.4,0.3,2.149667439710034,2.131624174191101,2.167710705228967,2.020261367065104,2.149667439710034,2.131624174191101,2.167710705228967,0.12940607264492998,6.405412426062583,False
Config36,Limited_N,1.0,0.4,0.3,1.0161480289863,0.9992833291633972,1.033012728809203,1.4765318963804468,1.0161480289863,0.9992833291633972,1.033012728809203,0.4603838673941467,31.18008276846077,False
Config37,Exact_N,1.0,0.4,0.25,2.0003708535554963,1.9831062398485315,2.017635467262461,1.9181298135762062,2.0003708535554963,1.9831062398485315,2.017635467262461,0.08224103997929011,4.287563823741313,False
Config38,Limited_N,1.0,0.4,0.25,0.8732276831647068,0.8584233419925414,0.8880320243368721,1.4004547780880636,0.8732276831647068,0.8584233419925414,0.8880320243368721,0.5272270949233568,37.64684895024891,False
Config39,Exact_N,1.0,0.4,0.2,1.872642026607488,1.855665279040919,1.889618774174057,1.849839920448382,1.872642026607488,1.855665279040919,1.889618774174057,0.02280210615910594,1.2326529396975574,False
Config40,Limited_N,1.0,0.4,0.2,0.7651496331607253,0.7517474976155949,0.7785517687058556,1.360491712401612,0.7651496331607253,0.7517474976155949,0.7785517687058556,0.5953420792408868,43.759331557408565,False
Config41,Exact_N,1.0,0.3,0.4,2.226003608595929,2.208471296090681,2.243535921101177,2.0888846811693993,2.226003608595929,2.208471296090681,2.243535921101177,0.13711892742652987,6.564217195071198,False
Config42,Limited_N,1.0,0.3,0.4,0.9844022105946886,0.96890826414112,0.9998961570482572,1.4290973433022287,0.9844022105946886,0.96890826414112,0.9998961570482572,0.44469513270754013,31.11720379242879,False
Config43,Exact_N,1.0,0.3,0.3,1.934891729999817,1.9192857945349595,1.9504976654646744,1.8598134096484058,1.934891729999817,1.9192857945349595,1.9504976654646744,0.07507832035141115,4.03687380475467,False
Config44,Limited_N,1.0,0.3,0.3,0.7177783668880333,0.7066992769948108,0.7288574567812558,1.238092948183699,0.7177783668880333,0.7066992769948108,0.7288574567812558,0.5203145812956658,42.02548621724848,False
Config45,Exact_N,1.0,0.3,0.25,1.819216743745679,1.8038856378270232,1.8345478496643348,1.7966960512273213,1.819216743745679,1.8038856378270232,1.8345478496643348,0.022520692518357643,1.253450326390698,False
Config46,Limited_N,1.0,0.3,0.25,0.6262085157773007,0.6165406457594395,0.635876385795162,1.1893949093701386,0.6262085157773007,0.6165406457594395,0.635876385795162,0.5631863935928378,47.350664540096396,False
Config47,Exact_N,1.0,0.3,0.2,1.7118493740937808,1.6965075115876498,1.7271912365999118,1.7435792579608531,1.7118493740937808,1.6965075115876498,1.7271912365999118,0.03172988386707232,1.819813106986658,False
Config48,Limited_N,1.0,0.3,0.2,0.551352035444168,0.5426891976345735,0.5600148732537625,1.1653053947724867,0.551352035444168,0.5426891976345735,0.5600148732537625,0.6139533593283187,52.68604797356031,False
Config49,Exact_N,1.0,0.25,0.4,2.1190415549449813,2.102631301491489,2.1354518083984737,2.0223068329303984,2.1190415549449813,2.102631301491489,2.1354518083984737,0.09673472201458289,4.783385015537462,False
Config50,Limited_N,1.0,0.25,0.4,0.8374752951823448,0.8244724941974116,0.8504780961672779,1.3217469735379694,0.8374752951823448,0.8244724941974116,0.8504780961672779,0.4842716783556247,36.63875825335591,False
Config51,Exact_N,1.0,0.25,0.3,1.8621584174601256,1.8471814110343592,1.8771354238858924,1.8238541382667965,1.8621584174601256,1.8471814110343592,1.8771354238858924,0.038304279193329016,2.100183254222811,False
Config52,Limited_N,1.0,0.25,0.3,0.6200330456736942,0.6108212924041878,0.6292447989432006,1.1777116666142122,0.6200330456736942,0.6108212924041878,0.6292447989432006,0.557678620940518,47.35272959838981,False
Config53,Exact_N,1.0,0.25,0.25,1.7536116645008066,1.7388108568550065,1.7684124721466068,1.7649756877128637,1.7536116645008066,1.7388108568550065,1.7684124721466068,0.011364023212057095,0.6438628753455021,True
Config54,Limited_N,1.0,0.25,0.25,0.5407925570951485,0.5328842909613041,0.5487008232289929,1.1135079301519712,0.5407925570951485,0.5328842909613041,0.5487008232289929,0.5727153730568227,51.433434603259506,False
Config55,Exact_N,1.0,0.25,0.2,1.6506441351213832,1.6357814474362329,1.6655068228065335,1.7214022598870056,1.6506441351213832,1.6357814474362329,1.6655068228065335,0.07075812476562238,4.110493312020341,False
Config56,Limited_N,1.0,0.25,0.2,0.4738899375151187,0.4669349862742171,0.4808448887560203,1.096883666003651,0.4738899375151187,0.4669349862742171,0.4808448887560203,0.6229937284885323,56.796700306271006,False
Config57,Exact_N,1.0,0.2,0.4,2.0365534497845537,2.02084449704236,2.0522624025267477,1.9820562654635425,2.0365534497845537,2.02084449704236,2.0522624025267477,0.05449718432101114,2.749527612843317,False
Config58,Limited_N,1.0,0.2,0.4,0.7283946654809563,0.7170314927111573,0.7397578382507554,1.2629288064469981,0.7283946654809563,0.7170314927111573,0.7397578382507554,0.5345341409660418,42.32496228111611,False
Config59,Exact_N,1.0,0.2,0.3,1.8009321484255971,1.7863752843242575,1.815489012526937,1.807157204841288,1.8009321484255971,1.7863752843242575,1.815489012526937,0.006225056415690933,0.34446679010626763,True
Config60,Limited_N,1.0,0.2,0.3,0.5425576682701447,0.5345689479368511,0.5505463886034384,1.1415689733760506,0.5425576682701447,0.5345689479368511,0.5505463886034384,0.5990113051059058,52.47263363635428,False
Config61,Exact_N,1.0,0.2,0.25,1.6966865090535028,1.6822596018741385,1.7111134162328672,1.7487462488129155,1.6966865090535028,1.6822596018741385,1.7111134162328672,0.05205973975941269,2.976975063978087,False
Config62,Limited_N,1.0,0.2,0.25,0.4718231719038096,0.4650583012654601,0.4785880425421591,1.0759835239145152,0.4718231719038096,0.4650583012654601,0.4785880425421591,0.6041603520107056,56.149591381540986,False
Config63,Exact_N,1.0,0.2,0.2,1.595878885238778,1.5813673859064818,1.610390384571074,1.7065698340874813,1.595878885238778,1.5813673859064818,1.610390384571074,0.11069094884870334,6.4861657951367,False
Config64,Limited_N,1.0,0.2,0.2,0.4098556131142366,0.4040660444400195,0.4156451817884538,1.0627558491852152,0.4098556131142366,0.4040660444400195,0.4156451817884538,0.6529002360709786,61.43464056881349,False
