File,Description,mean_W,ci_low_W,ci_high_W,mean_U,ci_low_U,ci_high_U,max_W,ci_low_max_W,ci_high_max_W,min_W,ci_low_min_W,ci_high_min_W,mean_utilization_Q1,ci_low_utilization_Q1,ci_high_utilization_Q1,mean_utilization_Q2,ci_low_utilization_Q2,ci_high_utilization_Q2,mean_queueLength_Q1,mean_queueLength_Q2,queueLength_Q1,queueLength_Q2
Config34,"Configuration with Strategy=1, N=2, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)",1.2507078460239347,1.2310089743618005,1.270406717686069,11.415161397884466,11.395462526222332,11.4348602695466,9.904281642822,1.2310089743618005,1.270406717686069,0.003998394803,1.2310089743618005,1.270406717686069,6.575486586007364e-05,6.462584547393704e-05,6.688388624621025e-05,6.872379905161155e-05,6.76071157133275e-05,6.98404823898956e-05,1.7290899526564967,0.5000343618995258,[1. 0. 1. ... 2. 3. 4.],[1. 0. 1. ... 1. 0. 1.]
Config35,"Configuration with Strategy=0, N=3, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)",2.1001605961854524,2.0775833443391343,2.1227378480317705,10.565708647722948,10.54313139587663,10.588285899569266,10.51690864181,2.0775833443391343,2.1227378480317705,0.07020994391,2.0775833443391343,2.1227378480317705,6.58718134510243e-05,6.484060357601169e-05,6.690302332603692e-05,4.160426027625229e-05,4.129443836834068e-05,4.19140821841639e-05,2.029839931493314,1.1666666666666667,[1. 2. 1. ... 1. 2. 1.],[1. 2. 1. ... 2. 1. 0.]
Config36,"Configuration with Strategy=1, N=3, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)",1.3062674575293134,1.285741780132224,1.3267931349264028,11.359601786379086,11.339076108981997,11.380127463776175,10.230678172972,1.285741780132224,1.3267931349264028,0.003998394803,1.285741780132224,1.3267931349264028,6.575054244197515e-05,6.457711490079419e-05,6.692396998315612e-05,6.724949562878279e-05,6.64505089080345e-05,6.804848234953107e-05,1.613715563153396,0.9547410894418292,[1. 0. 1. ... 3. 4. 3.],[1. 2. 1. ... 0. 1. 2.]
Config37,"Configuration with Strategy=0, N=2, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",15.950338840082567,15.754629075308053,16.146048604857082,-2.284469596174167,-2.480179360948682,-2.088759831399652,76.774066250424,15.754629075308053,16.146048604857082,0.032146912481,15.754629075308053,16.146048604857082,2.704822698872089e-05,2.680248448162745e-05,2.729396949581433e-05,2.6603527627763437e-05,2.6334581595894846e-05,2.6872473659632027e-05,31.270698655703118,0.5000133017638139,[ 0.  1.  2. ... 40. 39. 40.],[1. 0. 1. ... 1. 0. 1.]
Config38,"Configuration with Strategy=1, N=2, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",22.223818336934308,22.013612557484592,22.434024116384023,-8.557949093025904,-8.768154872475622,-8.347743313576187,71.237738055746,22.013612557484592,22.434024116384023,0.040307537842,22.013612557484592,22.434024116384023,2.6689441656880537e-05,2.6506443755072042e-05,2.687243955868903e-05,2.675370538819628e-05,2.6482471546747316e-05,2.702493922964524e-05,43.60243407707911,0.5,[ 5.  6.  5. ... 50. 49. 50.],[0. 1. 0. ... 1. 0. 1.]
Config39,"Configuration with Strategy=0, N=3, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",23.986172488795944,23.75717549856385,24.215169479028038,-10.320303244887548,-10.549300235119642,-10.091306254655454,74.332700282718,23.75717549856385,24.215169479028038,0.197649702537,23.75717549856385,24.215169479028038,2.6794566062002632e-05,2.66072393536805e-05,2.6981892770324764e-05,2.6460626587637594e-05,2.6303490544913035e-05,2.6617762630362154e-05,46.80003215347927,1.1667019475021168,[32. 33. 32. ...  2.  1.  2.],[1. 2. 1. ... 2. 1. 2.]
Config40,"Configuration with Strategy=1, N=3, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",22.34725243165853,22.13701611641929,22.557488746897768,-8.68138318775013,-8.89161950298937,-8.471146872510891,71.329022102123,22.13701611641929,22.557488746897768,0.040307537842,22.13701611641929,22.557488746897768,2.6689441656880537e-05,2.6505433534397964e-05,2.687344977936311e-05,2.6736538153039942e-05,2.657594684881682e-05,2.6897129457263066e-05,43.35662431941924,1.1615689000588203,[ 5.  6.  7. ... 48. 49. 50.],[2. 1. 2. ... 1. 2. 1.]
Config41,"Configuration with Strategy=0, N=2, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",15.950338840082567,15.754629075308053,16.146048604857082,1.7155304038258337,1.5198206390513183,1.911240168600349,76.774066250424,15.754629075308053,16.146048604857082,0.032146912481,15.754629075308053,16.146048604857082,2.704822698872089e-05,2.680248448162745e-05,2.729396949581433e-05,2.6603527627763437e-05,2.6334581595894846e-05,2.6872473659632027e-05,31.270698655703118,0.5000133017638139,[ 0.  1.  2. ... 40. 39. 40.],[1. 0. 1. ... 1. 0. 1.]
Config42,"Configuration with Strategy=1, N=2, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",22.223818336934308,22.013612557484592,22.434024116384023,-4.557949093025904,-4.7681548724756215,-4.347743313576187,71.237738055746,22.013612557484592,22.434024116384023,0.040307537842,22.013612557484592,22.434024116384023,2.6689441656880537e-05,2.6506443755072042e-05,2.687243955868903e-05,2.675370538819628e-05,2.6482471546747316e-05,2.702493922964524e-05,43.60243407707911,0.5,[ 5.  6.  5. ... 50. 49. 50.],[0. 1. 0. ... 1. 0. 1.]
Config43,"Configuration with Strategy=0, N=3, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",23.986172488795944,23.75717549856385,24.215169479028038,-6.320303244887547,-6.54930023511964,-6.0913062546554535,74.332700282718,23.75717549856385,24.215169479028038,0.197649702537,23.75717549856385,24.215169479028038,2.6794566062002632e-05,2.66072393536805e-05,2.6981892770324764e-05,2.6460626587637594e-05,2.6303490544913035e-05,2.6617762630362154e-05,46.80003215347927,1.1667019475021168,[32. 33. 32. ...  2.  1.  2.],[1. 2. 1. ... 2. 1. 2.]
Config44,"Configuration with Strategy=1, N=3, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",22.34725243165853,22.13701611641929,22.557488746897768,-4.681383187750131,-4.8916195029893705,-4.471146872510892,71.329022102123,22.13701611641929,22.557488746897768,0.040307537842,22.13701611641929,22.557488746897768,2.6689441656880537e-05,2.6505433534397964e-05,2.687344977936311e-05,2.6736538153039942e-05,2.657594684881682e-05,2.6897129457263066e-05,43.35662431941924,1.1615689000588203,[ 5.  6.  7. ... 48. 49. 50.],[2. 1. 2. ... 1. 2. 1.]
Config45,"Configuration with Strategy=0, N=2, lambda=2s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",15.950338840082567,15.754629075308053,16.146048604857082,3.715530403825834,3.5198206390513187,3.911240168600349,76.774066250424,15.754629075308053,16.146048604857082,0.032146912481,15.754629075308053,16.146048604857082,2.704822698872089e-05,2.680248448162745e-05,2.729396949581433e-05,2.6603527627763437e-05,2.6334581595894846e-05,2.6872473659632027e-05,31.270698655703118,0.5000133017638139,[ 0.  1.  2. ... 40. 39. 40.],[1. 0. 1. ... 1. 0. 1.]
