File,Description
Config271,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config272,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config281,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config282,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config291,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config292,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config301,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config302,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config311,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config312,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config321,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config322,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config331,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config332,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config341,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
